,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,asin,image,overall,reviewText,reviewTextClean,reviewTime,reviewerID,reviewerName,style,summary,unixReviewTime,verified,vote,sentiment
2195,3182,586094,586094,B00Y095HY6,,4.0,"It worked 5 months perfectly then it started reoving itself from my phone, after that i tried to format it to see if that was the issue, after that it locked itself in read-only and wouldn't let me put my music or anything on it. Tried several ways to get it to format, none worked. Not sure what else to do at this time. .. side note.. no the reader isn't locked :P",worked month perfectly started reoving phone tried format see issue locked read let put music anything tried several way get format none worked sure else time side note reader locked p,"07 9, 2016",A5GDDBJF22HCB,Tamz,{'Size:': ' 128 GB'},It worked 5 months perfectly then it started reoving itself ...,1468022400,True,,1
2455,9538,253664,253664,B005LDLP8W,,5.0,"Excellent, one year later still working, errors so far",excellent one year later still working error far,"04 1, 2016",AWJSK4KOENGJM,Crescente,{'Capacity:': ' 8GB KIT (4GBx2)'},Five Stars,1459468800,True,,1
2052,4183,474257,474257,B00K8HNGYW,,4.0,Everything went together without a hitch. A little tight to work with but thats a small form factor build for you. Only gripe is the wireless adapter is bigger than expected since I am used to Asus' wireless adapter.,everything went together without hitch little tight work thats small form factor build gripe wireless adapter bigger expected since used asus wireless adapter,"12 18, 2015",A3SRV10IOY0MP4,Louis Santiago,,MOBO works out of the box and setup went together without a hitch,1450396800,True,,1
2174,2531,741379,741379,B00JJ89T9M,,5.0,Well Built cable.,well built cable,"06 2, 2017",ARMX15JE9FJ6M,Enigmatic,{'Length:': ' 6 Feet'},Five Stars,1496361600,True,,1
502,3725,216453,216453,B004RKQMCY,,5.0,Good,good,"04 9, 2015",A2S6WK7O3EMGNA,laura,,Five Stars,1428537600,True,,1
2738,426,484273,484273,B00L0YLRUW,,5.0,"I bought this with a d-link exo AC1900 to cover any form of dead zones(which there wasn't any, great router BTW) gave it the same settings as my router so it transfers over. branched them over my property to have full wifi signal down to my garage 175 yards away",bought link exo ac cover form dead zone great router btw gave setting router transfer branched property full wifi signal garage yard away,"01 3, 2017",A3D1U02J2PJNXG,JeepMan,,great router BTW) gave it the same settings as my ...,1483401600,True,,1
1196,10084,89127,89127,B0014L6RH4,,4.0,"This is my first GPS but some of my friends are up to their 4th. I'm directionally challenged and always wanted one but the complaints of friends with GPS and the huge price tag made me wait it out. With all the upgraded features and prices dropping so much, I could not resist buying one. I've only been testing it in my neighborhood and to work but it's been accurate; 1 error in a street name but the SD map was from 2008. I called company, asked for the ""free"" latest map within their 30 day of purchase window.  Unfortunately, it's still 2009 since the 2010 won't be release until much later in the year; cost $10 for S/H to mail the SD map. Delivery was fast but now I need full charge before I can install the new software to use the new map. Since I only have the car charger and my drive to work is ~15 minutes, the battery still not max yet. I'll update after the upgrade and new map but the GPS is intuitive to use/program. I have no trouble figuring out the features, enter addresses and started using it out of the box.  Low volume is a major complaint of most GPS but with the radio on I still can hear this one clearly on max setting. Love the street names, turns announcements; no need to even look at the screen. It also have a bell alert immediately before each turn. The bright blue screen was easy to see in bright daylight too. One person complained it was too bright for night; the reviewer may not know about the brightness setting. Tried it myself, not a problem. I did not tried the free 3 month traffic subscription yet. My Miami commute is nothing compare to other major cities I've been in.

I was hesitant about this model with all the low reviews I saw here but since most were from 2008 and early 2009 and for the price ~$90 plus some very positive reviews, I was willing to risk it.  I think the company may have resolved the issues with upgrades, 30 days free map upgrade and better customer service. Like I said, I'll post my experience after the upgrade and new map to see if the company actually did fix the issues reported by some.  The customer service I got was excellent.

I'm happy with the price and features of this unit so far. I'm purcahsing a wall charger for this unit for $5. I already have a USB data link for the upgrade. If you live in a city where there were no major changes to the freeway, highways or roads the last few years then you can save money and not upgrade the map or simply wait for a later model with more current maps. GPS seem to be getting cheaper by the month.

UPDATE 04-Jul-10:
Got my wall charger last week and downloaded the software update so I can use the new 2009 SD map. The SD map came so quickly after I faxed Magellan the receipt with date of purchase, I had to wait for my wall charger because you'll need a fully charge unit first.  No problems with the download (took only a few minutes) but I had a problem after I inserted the new SD map.  It was my fault because I did not remove the plastic screen protector and it cause an error that took me more than 20 mins to figure out why it wasn't responding to touch or reset. Once I removed the screen protector, it reset and responded well to touch and so far no problems with the unit so I believe they fixed the software problem that others complained about.  The name error of the one street was still not corrected with the new map so save your money if you live in an area with no major changes to your roads in the last few years. Like other posters asked, do they really update those maps?!!

For the price and features, absolutely happy with the unit. None of my friends ever complained about the durability of a GPS so I think this unit will only be replaced in the future with a ""better"" unit or if the new maps at the current $80 are more expensive than buying a new unit.",first gps friend th directionally challenged always wanted one complaint friend gps huge price tag made wait upgraded feature price dropping much could resist buying one testing neighborhood work accurate error street name sd map called company asked free latest map within day purchase window unfortunately still since release much later year cost h mail sd map delivery fast need full charge install new software use new map since car charger drive work minute battery still max yet update upgrade new map gps intuitive use program trouble figuring feature enter address started using box low volume major complaint gps radio still hear one clearly max setting love street name turn announcement need even look screen also bell alert immediately turn bright blue screen easy see bright daylight one person complained bright night reviewer may know brightness setting tried problem tried free month traffic subscription yet miami commute nothing compare major city hesitant model low review saw since early price plus positive review willing risk think company may resolved issue upgrade day free map upgrade better customer service like said post experience upgrade new map see company actually fix issue reported customer service got excellent happy price feature unit far purcahsing wall charger unit already usb data link upgrade live city major change freeway highway road last year save money upgrade map simply wait later model current map gps seem getting cheaper month update jul got wall charger last week downloaded software update use new sd map sd map came quickly faxed magellan receipt date purchase wait wall charger need fully charge unit first problem download took minute problem inserted new sd map fault remove plastic screen protector cause error took min figure responding touch reset removed screen protector reset responded well touch far problem unit believe fixed software problem others complained name error one street still corrected new map save money live area major change road last year like poster asked really update map price feature absolutely happy unit none friend ever complained durability gps think unit replaced future better unit new map current expensive buying new unit,"06 26, 2010",A2IEX6RTEHI5DC,thia,{'Product Packaging:': ' Standard Packaging'},"Updated w/ new maps (had it for a week, no regrets so far)",1277510400,False,,1
1577,1166,24284,24284,B0002A9RFM,,5.0,Works as advertised!,work advertised,"09 29, 2015",AQQUMVXWYIDQY,Jimmy D.,,Five Stars,1443484800,True,,1
1477,3039,259792,259792,B005SNOCOY,,5.0,"I bought this for my daughter MacBook and she loved it. First, I thought  it wasn't going to fit, but it did. The keyboard the letters are off, so it looks like 3D. I'm happy I bought for her, protection comes first.",bought daughter macbook loved first thought going fit keyboard letter look like happy bought protection come first,"02 24, 2013",A2PDQ4GEZ4STQ7,Nany,,Love it!,1361664000,True,,1
272,3671,699311,699311,B001FO2VDO,,5.0,"I run 3 of these routers/access points to cover the entire house. All my Apple devices are smart enough to switch from one access point to another as I get closer to one, and further away from another. Always full bandwidth in my house, and with the new limited data contracts out there, I keep my data usage to a minimum!",run router access point cover entire house apple device smart enough switch one access point another get closer one away another always full bandwidth house new limited data contract keep data usage minimum,"02 1, 2013",A16P0EB85885O3,Michael J. Gelinas,,I have 3 of these online at the moment. Great product!,1359676800,True,,1
