Unnamed: 0.1,overall,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,vote,image
410,5.0,True,"12 31, 2016",A62VUJ6MUZU6M,B001IKJOLW,"{'Size:': ' 8 B(M) US', 'Color:': ' Black/White/Anthracite/Stealth'}",sultari,"Finally, after trying about 10 pairs of Nike's, these were a perfect fit.  They are light and very comfortable, I really just forget about my feet when I'm wearing them.",these were a perfect fit. They are light and very comfortable,1483142400,,
1418,4.0,True,"04 27, 2017",A21SV1XYXF2GK,B009MA34NY,"{'Size:': ' 7 W US', 'Color:': ' Cool Grey / Volt - Wolf Grey - Pure Platinum'}",Morgan Slimskey,"Purchased to wear for weightlifting and Zumba. Zumba trial was last night, and they were great! Super comfortable, good ventilation! Not too much padding, very minimalist, which is just what I wanted",and they were great! Super comfortable,1493251200,,
51,3.0,True,"06 11, 2015",A2J9WEIRNVTX61,B000YFSR5G,,Wildcat,"No pockets and huge, the bottom of the pants go over shoes",large with no pockets,1433980800,,
574,5.0,True,"01 8, 2018",A1VXFXHDY4SRI5,B0058YEJ5K,"{'Size:': ' 6 B(M) US', 'Color:': ' Pure Platinum/Blue Glow/Wolf Grey'}",Trl,"Super light-weight, decent arch support (mine is higher than average).  I was pleasantly surprised by the sole/tread on these for my circuit training classes, as I couldn't really tell by online pics.  Also pleasantly surprised that these ran ever so slightly bigger than Nike running shoes I use to wear 15+years ago - I always wore one to 1.5 sizes larger in their ""Hurache's""/running shoes, so I was really worried my size 6 would be too small - there is actually more toe room in these shoes than any other size 6 shoe I own (athletic, heel, boot).  But it is the correct amount of room from big toe to edge of shoe for me (an inch or less, I don't want my big toe being jammed into edge of shoe when lunging, jumping, etc.).  Shoes arrived with an odd yellowish color on side of one shoe, but no damage to box, paper lining etc - I was happy that a clorox wipe easily cleaned the shoe and did not discolor any further.  I am very happy and highly recommend, although I have only worked out it once!","Super light-weight, nice tread and arch support - love them so far!",1515369600,,
1158,3.0,True,"11 6, 2016",AJWSFNS4F87M6,B0014F7B98,"{'Size:': ' 8.5 B(M) US', 'Color:': ' White/Hyper Pink/Pure Platinum/Wolf Grey'}",Yraida V.,After my purchased I found out they are overpriced. They feel good but I will not recommended if you need Wide fit.,They feel good but I will not recommended if you need Wide ...,1478390400,,
5,3.0,True,"05 6, 2015",A3W11493KS6Z2L,B000K2PJ4K,"{'Size:': ' Little Boys', 'Color:': ' White/Black'}",NaeNae,Waaay too small. Will use for futur children!,Oops!,1430870400,,
1720,5.0,True,"08 27, 2017",A5Z3UGOPDBJPW,B0092UF54A,"{'Size:': ' 8 B(M) US', 'Color:': ' Black'}",Carol,Good looking shoe, Shoes,1503792000,,
2849,3.0,True,"10 18, 2017",AKG96VVJ8XANP,B014IBJKNO,"{'Size:': ' 9 M US', 'Color:': ' Wolf Grey/Black-pink Blast/White'}",Sonia Dietrich,I always wear a womans 9 in Nikes but these are bigger than usual. The right one almost slips off my foot a bit.  They are really light and not as sturdy as what I was looking for but over all not bad.,They are really light and not as sturdy as what I was looking for but over all ...,1508284800,,
715,5.0,True,"04 2, 2017",A1L7TD1CZQDK6R,B0058YEJ5K,"{'Size:': ' 9.5 B(M) US', 'Color:': ' Wolf Grey/Platinum/White/Crimson'}",corinnehoffman,Great fit so comfortable love them!!!!!,Five Stars,1491091200,,
3153,5.0,True,"07 2, 2018",A2077NII5H62R2,B009MA34NY,"{'Size:': ' 8.5 B(M) US', 'Color:': ' Green Glow/Seaweed - Hasta - White'}",Amazon Customer,Perfect fit!,Five Stars,1530489600,,
