,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,overall,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,vote,image
400,908,396,396,2.0,False,"09 25, 2002",A1522TN5FVJL0Y,B00005AFI2,,R. Geissman,I received a 30 day trial of this software from Microsoft. I used it to update my website that is hosted by Yahoo. I had to load the FrontPage extensions to the server then convert my current pages to FrontPage. This made me go through the process of reformatting nearly everything. The simple on-line tools that yahoo provides did a better job and quicker than this software. I suppose if you really are an office expert and want the look and feel of the office interface then you might like it. Otherwise I think you can do better elsewhere. This software takes the cookie cutter approach to building a web presence. Microsoft was offering a 30 day CD trial but have stopped that. I wonder why they don't want you to try it out any more before you buy it? Why indeed!,Why?,1032912000,,
555,958,11017,11017,5.0,True,"12 7, 2015",A25WJGW9I7O9HM,B011XO5JZM,,Harry DBH,Good in time updates my licenses.,Five Stars,1449446400,,
161,1712,7507,7507,3.0,True,"07 30, 2015",A2Q56N6TI0T525,B00CTTEKJW,{'Platform:': ' PC'},Shootability,ok,Three Stars,1438214400,,
798,2468,11340,11340,3.0,False,"11 16, 2015",A3RF46CL8GDIN8,B0148BYIAO,{'Platform:': ' PC Download'},NorthStar,"The product itself downloaded easily and works well. It's not that hard to adjust from Office 2013 to 2016, but I went ahead and got a 2016 guide anyway for those inevitable small changes that sometimes just can't get around. The only reason I don't give 5 stars is because of the increasing demand of personal info just to download and use this product. I like that they want to know how to make the product better but the requests for personal information are starting to get on my nerves. I always let the system report errors back to them anonymously, They shouldn't need to know who and where I am in order to download the product.",Office 2016,1447632000,,
196,506,11654,11654,5.0,False,"11 12, 2015",A2AC6GQ24S45GA,B015XDQD4K,{'Platform:': ' PC'},Patrick O,"A lot of features for not a lot of price, it does have a bit of a learning curve but they provide a lot of lessons and guidance on how to use each feature. If you have any background with video editing, this offers an easy step into some useful task, though not entirely advanced compared to other programs. I'd heartily suggest it for people who aren't willing or interested to jump in to the more professional programs, or are interested but they're budget isn't--but who want to have more creative possibilities than what a basic program like Windows Movie Maker or lower end/price programs. This is also a really good stepping stool for those higher end products. Get to know basics and exploration on this, then if and when you find you come to the end of what it offers, move on. The expensive programs really are overkill for the great majority of people (and I say this as someone who has the Adobe suite and realize that even as an educator I'm paying more than what I reasonably need to use).

Great middle ground software that would fit most people's needs and spark a lot of creative development",I should edit this,1447286400,,
298,315,5308,5308,4.0,True,"09 14, 2014",A2DW7QRJYJUY3Z,B004IKEKWC,{'Format:': ' Software'},rangerone,"item was as described, I was pleased with the purchase",I was pleased with the,1410652800,,
363,30,11696,11696,5.0,True,"02 3, 2016",A3RVG0QUY7R7LX,B01617VO2S,{'Platform:': ' PC Disc'},G&#039;Wood,The price was less than purchasing it direct from Intuit.,Possibly Best Price,1454457600,,
618,1692,5398,5398,1.0,False,"12 5, 2011",A680RUE1FDO8B,B004PIPG2A,{'Platform:': ' PC Disc'},Jerry Saperstein,"First impressions count - and my first impression of Corel's Video Studio Pro X4 is definitely negative. I have a long history with this product, going back to its days as Ulead's video editor. It was flaky then, stayed flaky in the occasional upgrade I've purchased and remains flaky in this most recent version.

  I needed an inexpensive video editor for another computer and I am up to my license limit on the other packages I own and my earlier VideoStudio packages are not Windows 7 compatible. This is certainly cheap enough, but true to its own traditions, it is not ready for prime time.

  For example, I tried to open two MP4 files created with the ArcSoft video product. Corel VideoStudio Pro X4 gave me a file mismatch error. However, Apple QuickTime, Avid Studio, Adobe Premiere Pro, Cyberlink PowerDirector 10, Avif Pinnacle 14 HD and Windows Movie Maker opened the MP4 files without difficulty. I noted in Corel's support forum that there are many reported problems identical or closely similar to mine. To me, that means sloppy coding and inadequate beta-testing and quality control, the same problems that have plagued Ulead/Corel problems for years. Oddly enough, Video studio Pro X4 would open other MP4 files created with the ArcSoft product.

  Next, I wanted to record from a DV source. Video Studio Pro X4 recognized the source, played the audio but would not display a preview of the video. I finally got it to work, but don't ask me how. The problem occurred on numerous occasion making VideoStudio very difficult to record with.

  I don't know what other unpleasant surprises are in store for me with Corel Video studio Pro X4, but based on past experience, there will be no shortage of them. On the other hand, the product is cheap - in more than just price - and this particular need doesn't require much more than the minimal capabilities.

  Overall, my initial impressions are negative. Should further experience change my opinion, I will amend my review. My advice though is that unless you absolutely can't afford a better video editing product, avoid Corel Video Studio Pro X4.

  I continued working with VideoStudio for another day and my impression has now solidified: it stinks.

  Repeated difficulties connecting to a known good DV device. Crashes so severely that the Windows 7 computer it was hosted on required a reboot. Usability is low with basic editing commands buried deep in the manual. Single frame key shortcuts, for example, are buried in the manual instead of in tooltips.

  My opinion: Corel VideoStudio Pro X4 is to be avoided.

Jerry","Problem ridden, poorly designed.",1323043200,2.0,
783,1027,2643,2643,5.0,True,"08 8, 2014",A2857LQW3WE18Y,B0000AZJY6,{'Color:': ' 0.8594631328'},Marva L.,Love them! Beautiful color!,Five Stars,1407456000,,
125,3068,2066,2066,4.0,False,"07 7, 2008",A1FRADBDXQPJJC,B000WEJYM4,{'Format:': ' CD-ROM'},Rayhan S,"This version is not very different from the current 2003 Outlook that I use. It's better to think of it more as an upgrade. The new features include:

1) Business Contact Manager
2) RSS Feeds

Also, this version is compatible with my older version of MS word so no problems there.",Decent features + Upgrade,1215388800,,
