,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,overall,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,vote,image,reviewTextClean,length,predictedSentiment,predictedSentimentConfidence
0,400,908,396,396,2.0,False,"09 25, 2002",A1522TN5FVJL0Y,B00005AFI2,,R. Geissman,I received a 30 day trial of this software from Microsoft. I used it to update my website that is hosted by Yahoo. I had to load the FrontPage extensions to the server then convert my current pages to FrontPage. This made me go through the process of reformatting nearly everything. The simple on-line tools that yahoo provides did a better job and quicker than this software. I suppose if you really are an office expert and want the look and feel of the office interface then you might like it. Otherwise I think you can do better elsewhere. This software takes the cookie cutter approach to building a web presence. Microsoft was offering a 30 day CD trial but have stopped that. I wonder why they don't want you to try it out any more before you buy it? Why indeed!,Why?,1032912000,,,received day trial software microsoft used update website hosted yahoo load frontpage extension server convert current page frontpage made go process reformatting nearly everything simple line tool yahoo provides better job quicker software suppose really office expert want look feel office interface might like otherwise think better elsewhere software take cookie cutter approach building web presence microsoft offering day cd trial stopped wonder want try buy indeed,769,1,0.75
1,555,958,11017,11017,5.0,True,"12 7, 2015",A25WJGW9I7O9HM,B011XO5JZM,,Harry DBH,Good in time updates my licenses.,Five Stars,1449446400,,,good time update license,33,1,0.75
2,161,1712,7507,7507,3.0,True,"07 30, 2015",A2Q56N6TI0T525,B00CTTEKJW,{'Platform:': ' PC'},Shootability,ok,Three Stars,1438214400,,,ok,2,0,1.0
3,798,2468,11340,11340,3.0,False,"11 16, 2015",A3RF46CL8GDIN8,B0148BYIAO,{'Platform:': ' PC Download'},NorthStar,"The product itself downloaded easily and works well. It's not that hard to adjust from Office 2013 to 2016, but I went ahead and got a 2016 guide anyway for those inevitable small changes that sometimes just can't get around. The only reason I don't give 5 stars is because of the increasing demand of personal info just to download and use this product. I like that they want to know how to make the product better but the requests for personal information are starting to get on my nerves. I always let the system report errors back to them anonymously, They shouldn't need to know who and where I am in order to download the product.",Office 2016,1447632000,,,product downloaded easily work well hard adjust office went ahead got guide anyway inevitable small change sometimes get around reason give star increasing demand personal info download use product like want know make product better request personal information starting get nerve always let system report error back anonymously need know order download product,636,1,0.75
4,196,506,11654,11654,5.0,False,"11 12, 2015",A2AC6GQ24S45GA,B015XDQD4K,{'Platform:': ' PC'},Patrick O,"A lot of features for not a lot of price, it does have a bit of a learning curve but they provide a lot of lessons and guidance on how to use each feature. If you have any background with video editing, this offers an easy step into some useful task, though not entirely advanced compared to other programs. I'd heartily suggest it for people who aren't willing or interested to jump in to the more professional programs, or are interested but they're budget isn't--but who want to have more creative possibilities than what a basic program like Windows Movie Maker or lower end/price programs. This is also a really good stepping stool for those higher end products. Get to know basics and exploration on this, then if and when you find you come to the end of what it offers, move on. The expensive programs really are overkill for the great majority of people (and I say this as someone who has the Adobe suite and realize that even as an educator I'm paying more than what I reasonably need to use).

Great middle ground software that would fit most people's needs and spark a lot of creative development",I should edit this,1447286400,,,lot feature lot price bit learning curve provide lot lesson guidance use feature background video editing offer easy step useful task though entirely advanced compared program heartily suggest people willing interested jump professional program interested budget want creative possibility basic program like window movie maker lower end price program also really good stepping stool higher end product get know basic exploration find come end offer move expensive program really overkill great majority people say someone adobe suite realize even educator paying reasonably need use great middle ground software would fit people need spark lot creative development,1107,1,1.0
5,298,315,5308,5308,4.0,True,"09 14, 2014",A2DW7QRJYJUY3Z,B004IKEKWC,{'Format:': ' Software'},rangerone,"item was as described, I was pleased with the purchase",I was pleased with the,1410652800,,,item described pleased purchase,54,1,1.0
6,363,30,11696,11696,5.0,True,"02 3, 2016",A3RVG0QUY7R7LX,B01617VO2S,{'Platform:': ' PC Disc'},G&#039;Wood,The price was less than purchasing it direct from Intuit.,Possibly Best Price,1454457600,,,price le purchasing direct intuit,57,1,0.25
7,618,1692,5398,5398,1.0,False,"12 5, 2011",A680RUE1FDO8B,B004PIPG2A,{'Platform:': ' PC Disc'},Jerry Saperstein,"First impressions count - and my first impression of Corel's Video Studio Pro X4 is definitely negative. I have a long history with this product, going back to its days as Ulead's video editor. It was flaky then, stayed flaky in the occasional upgrade I've purchased and remains flaky in this most recent version.

  I needed an inexpensive video editor for another computer and I am up to my license limit on the other packages I own and my earlier VideoStudio packages are not Windows 7 compatible. This is certainly cheap enough, but true to its own traditions, it is not ready for prime time.

  For example, I tried to open two MP4 files created with the ArcSoft video product. Corel VideoStudio Pro X4 gave me a file mismatch error. However, Apple QuickTime, Avid Studio, Adobe Premiere Pro, Cyberlink PowerDirector 10, Avif Pinnacle 14 HD and Windows Movie Maker opened the MP4 files without difficulty. I noted in Corel's support forum that there are many reported problems identical or closely similar to mine. To me, that means sloppy coding and inadequate beta-testing and quality control, the same problems that have plagued Ulead/Corel problems for years. Oddly enough, Video studio Pro X4 would open other MP4 files created with the ArcSoft product.

  Next, I wanted to record from a DV source. Video Studio Pro X4 recognized the source, played the audio but would not display a preview of the video. I finally got it to work, but don't ask me how. The problem occurred on numerous occasion making VideoStudio very difficult to record with.

  I don't know what other unpleasant surprises are in store for me with Corel Video studio Pro X4, but based on past experience, there will be no shortage of them. On the other hand, the product is cheap - in more than just price - and this particular need doesn't require much more than the minimal capabilities.

  Overall, my initial impressions are negative. Should further experience change my opinion, I will amend my review. My advice though is that unless you absolutely can't afford a better video editing product, avoid Corel Video Studio Pro X4.

  I continued working with VideoStudio for another day and my impression has now solidified: it stinks.

  Repeated difficulties connecting to a known good DV device. Crashes so severely that the Windows 7 computer it was hosted on required a reboot. Usability is low with basic editing commands buried deep in the manual. Single frame key shortcuts, for example, are buried in the manual instead of in tooltips.

  My opinion: Corel VideoStudio Pro X4 is to be avoided.

Jerry","Problem ridden, poorly designed.",1323043200,2.0,,first impression count first impression corel video studio pro x definitely negative long history product going back day ulead video editor flaky stayed flaky occasional upgrade purchased remains flaky recent version needed inexpensive video editor another computer license limit package earlier videostudio package window compatible certainly cheap enough true tradition ready prime time example tried open two mp file created arcsoft video product corel videostudio pro x gave file mismatch error however apple quicktime avid studio adobe premiere pro cyberlink powerdirector avif pinnacle hd window movie maker opened mp file without difficulty noted corel support forum many reported problem identical closely similar mine mean sloppy coding inadequate beta testing quality control problem plagued ulead corel problem year oddly enough video studio pro x would open mp file created arcsoft product next wanted record dv source video studio pro x recognized source played audio would display preview video finally got work ask problem occurred numerous occasion making videostudio difficult record know unpleasant surprise store corel video studio pro x based past experience shortage hand product cheap price particular need require much minimal capability overall initial impression negative experience change opinion amend review advice though unless absolutely afford better video editing product avoid corel video studio pro x continued working videostudio another day impression solidified stink repeated difficulty connecting known good dv device crash severely window computer hosted required reboot usability low basic editing command buried deep manual single frame key shortcut example buried manual instead tooltips opinion corel videostudio pro x avoided jerry,2592,0,1.0
8,783,1027,2643,2643,5.0,True,"08 8, 2014",A2857LQW3WE18Y,B0000AZJY6,{'Color:': ' 0.8594631328'},Marva L.,Love them! Beautiful color!,Five Stars,1407456000,,,love beautiful color,27,1,1.0
9,125,3068,2066,2066,4.0,False,"07 7, 2008",A1FRADBDXQPJJC,B000WEJYM4,{'Format:': ' CD-ROM'},Rayhan S,"This version is not very different from the current 2003 Outlook that I use. It's better to think of it more as an upgrade. The new features include:

1) Business Contact Manager
2) RSS Feeds

Also, this version is compatible with my older version of MS word so no problems there.",Decent features + Upgrade,1215388800,,,version different current outlook use better think upgrade new feature include business contact manager r feed also version compatible older version m word problem,280,1,0.75
10,148,2664,11641,11641,4.0,True,"11 21, 2016",A1MOLMEBRO23PR,B015SWVD3M,,Daniel Young,great buy,Four Stars,1479686400,,,great buy,9,1,1.0
11,893,109,4362,4362,5.0,False,"01 25, 2010",A2JAEZ0FMAMJVW,B002I7LYBC,,A. H.,"In the past fifteen years or so, I've had experience with Norton, McAfee, ZoneLabs, and Kaspersky anti-virus and security software.  Bitdefender ranks right up there among the least problematic security suites I've come across.

I've had McAfee products that brought my computer to its knees and ZoneLabs products that interfered terribly with Internet browsing.  I haven't noticed any glitches so far with Bitdefender 2010.  It's the most transparent suite I've used.

I installed this software on a Pentium 4 HT with 2gb RAM that runs WinXP Pro.  Firefox still clips along, and the antivirus engine does a pretty quick job of working through the nearly 400gbs of files I've got on the 500gb hard drive.

There are many customizable options in the Bitdefender interface.  None of it is confusing, but there are a lot of options.  The software operates simply, though.  It doesn't throw numerous alerts at you every time you do something on the PC.  It knows which new programs to trust (whitelisting?) and allows them access through the firewall.  I haven't had a problem with malware on this machine.  It seems to be doing just fine.

In all, this is a worthy contender.  I rate it right up there with Kaspersky 2010, my other favorite suite at the moment.  It doesn't hog system resources the way other suites do, and it doesn't get in the way.  But it does its job.  What more can you ask for?",Running smoothly and effectively,1264377600,,,past fifteen year experience norton mcafee zonelabs kaspersky anti virus security software bitdefender rank right among least problematic security suite come across mcafee product brought computer knee zonelabs product interfered terribly internet browsing noticed glitch far bitdefender transparent suite used installed software pentium ht gb ram run winxp pro firefox still clip along antivirus engine pretty quick job working nearly gb file got gb hard drive many customizable option bitdefender interface none confusing lot option software operates simply though throw numerous alert every time something pc know new program trust whitelisting allows access firewall problem malware machine seems fine worthy contender rate right kaspersky favorite suite moment hog system resource way suite get way job ask,1397,1,1.0
12,952,306,8652,8652,4.0,True,"08 21, 2014",A7QOOJUE2THEC,B00FFIO0NA,{'Platform:': ' PC Download'},Louis Gedo,"I've used this program for the past 4 years and it just works, taking me through the process step by step",Better than paying someone $200 to do my taxes,1408579200,,,used program past year work taking process step step,105,1,0.75
13,341,1651,6127,6127,5.0,True,"04 20, 2015",A2BKS36BUQIB32,B005S4Y65I,{'Format:': ' CD-ROM'},04 ZRX 1200R &amp;#34;Kurt&amp;#34;,"Worked great saved me so much money versus a ""Pro"" brick & cement house""","Buy it if you love it, now they have changed & makes it awful",1429488000,,,worked great saved much money versus pro brick cement house,72,1,1.0
14,30,2314,453,453,5.0,False,"02 28, 2003",A1QVFHPY8418HC,B00005MOTE,,monkuboy,"I was using Windows 98SE and overall was happy with it.  While I experienced some lockups and freezing, it didn't happen that often.  What prompted me to switch to XP was a desire for better memory management (Windows 98 doesn't do a very good job), more stability even though Win98 wasn't bad for me, and an overall change of scenery.  So finally I made the plunge, doing a clean install instead of trying to upgrade over 98.
The Upgrade Advisor that you can download from Microsoft.com was very useful.  Luckily everything except my NEC printer was compatible with XP.  Next, the Transfer Settings and Files Wizard that comes on the XP disk also came in handy.  It gathers all your settings and/or files from the ""old computer,"" saves them in a file (or transfers them directly - you have various options) which you can then put on the new computer.  I wound up transferring only settings using the wizard.  Originally I told it to transfer files too, but it copied too many things that were unnecessary and the result was way too big to fit on a cd.  I would advise copying your documents and other important files manually but letting XP transfer your settings.  That way you can be more selective about what gets transferred (assuming you are doing a clean install).
Installation of XP went very smoothly.  It identified all my hardware, and I was able to reinstall my software with no problems.  Using the Transfer Wizard to move the settings to the new installation worked fine and was a real time saver - it moved all of my internet and e-mail settings and messages over with ease.  All user input was very clearly explained and the process overall was quite simple.
Using XP: There's a lot I still have to learn, but so far the system has been stable and I notice memory is managed much better than under 98.  It loads faster and while the much more colorful layout took some getting used to, now it seems like 98 is in black and white by comparison.  I also use the ""clear type"" option for fonts and find that they are easier to read than under a ""normal"" display (it seems to me that the main difference is that clear type makes it darker and bolder).
I'm glad I made the switch.  I've read some complaints about installation experiences and also the strict registration requirements but my experience so far has been all positive (knock on wood, of course!).  It seems like the Microsoft engineers really gave this a lot of thought and put it into action.",I Guess I'm Lucky,1046390400,13.0,,using window se overall happy experienced lockup freezing happen often prompted switch xp desire better memory management window good job stability even though win bad overall change scenery finally made plunge clean install instead trying upgrade upgrade advisor download microsoft com useful luckily everything except nec printer compatible xp next transfer setting file wizard come xp disk also came handy gather setting file old computer save file transfer directly various option put new computer wound transferring setting using wizard originally told transfer file copied many thing unnecessary result way big fit cd would advise copying document important file manually letting xp transfer setting way selective get transferred assuming clean install installation xp went smoothly identified hardware able reinstall software problem using transfer wizard move setting new installation worked fine real time saver moved internet e mail setting message ease user input clearly explained process overall quite simple using xp lot still learn far system stable notice memory managed much better load faster much colorful layout took getting used seems like black white comparison also use clear type option font find easier read normal display seems main difference clear type make darker bolder glad made switch read complaint installation experience also strict registration requirement experience far positive knock wood course seems like microsoft engineer really gave lot thought put action,2467,1,1.0
15,216,326,7194,7194,5.0,True,"01 13, 2015",A1P3VXTAZSHUIP,B00A6TPHZS,,Spenn,No problem with the key I purchased. Installed Windows 8 OK and upgraded to 8.1 with minimal issues.,Key worked fine,1421107200,,,problem key purchased installed window ok upgraded minimal issue,100,1,0.75
16,226,496,8764,8764,5.0,True,"10 30, 2016",A2KIIQX2TH70MR,B00FZ0FK0U,{'Format:': ' Software Download'},C,"I my self have used WEBROOT for more than a few Years on Windows XP, VISTA, 7, 8.1, 10 to present windows 10 new update to version1607...
WEBROOT works great for me!!! NO Trouble at all...I used NORTON : (  and don't like Norton ad Not A fan of Norton used more than a few times The Free Version of Norton Is GREAT!!! but the one you Pay for YUCK!!! it uses to much space on your Hard drive and at times lock you off being able get online and ties the computer up...",WEBROOT works great for me,1477785600,,,self used webroot year window xp vista present window new update version webroot work great trouble used norton like norton ad fan norton used time free version norton great one pay yuck us much space hard drive time lock able get online tie computer,466,1,0.5
17,311,1770,10590,10590,1.0,True,"05 4, 2016",A2OPWMG3XM3W1T,B00SWCP8CI,,Tammi,Bad,bad,1462320000,,,bad,3,0,1.0
18,151,138,8281,8281,5.0,True,"12 17, 2014",A197GS9TRBOKX8,B00EZQYC8G,{'Platform:': ' PC Disc'},JIM R.,One of the best Internet Security pieces of software today. Worth the investment.,Norton Works Well,1418774400,,,one best internet security piece software today worth investment,81,1,1.0
19,155,1475,10909,10909,5.0,True,"02 3, 2016",A1PKJZRM97ELT8,B010P91LYY,{'Platform:': ' PC/Mac'},Widgeted,Seems to work great and much less expensive than Norton,Five Stars,1454457600,,,seems work great much le expensive norton,55,1,1.0
20,543,2702,3319,3319,3.0,False,"08 16, 2009",AG90OGHDGOOVH,B0017KEA6W,,David Stapleton,"In brief,
- the software installed without problem on my Windows Vista 64 laptop,
- the GPS dongle works as intended, but must be outside to get lock on satellites (as expected)
- trip plotting is reasonably efficient, but not perfect (I'd like to see an option that minimizes changing freeways as long as it does not add more than a few miles to the overall trip distance, that would be really useful in packed urban areas like Los Angeles with numerous interchanges)
- works as well as my Garman nuvi 760 with the big exception of the form factor

The bottom line question is ultimately, Is it useful? I have to answer no, not really. I can get maps and trip directions from the internet in most cases for free. For actual, real life driving, a dedicated GPS wins out if for no other reason than that the form factor of carrying a laptop (even the new netbooks) is just too cumbersome for ease of use and safe viewing while driving. This is not to say that the product doesn't work, just that there are better or cheaper solutions on the market to fill the need.
P-)","Useful, well sort of...",1250380800,,,brief software installed without problem window vista laptop gps dongle work intended must outside get lock satellite expected trip plotting reasonably efficient perfect like see option minimizes changing freeway long add mile overall trip distance would really useful packed urban area like los angeles numerous interchange work well garman nuvi big exception form factor bottom line question ultimately useful answer really get map trip direction internet case free actual real life driving dedicated gps win reason form factor carrying laptop even new netbooks cumbersome ease use safe viewing driving say product work better cheaper solution market fill need p,1068,1,1.0
21,234,1235,5726,5726,4.0,False,"12 20, 2012",A17A1KTVI3DG6U,B005AAWP1W,,Nathan A. Edwards,"I have been using Maximum Security '12 for almost a year now, and I have to say that I prefer Trend Micro products.

It is undeniable that Trend Micro catches some flak from industry critics, which concerned me at first. I utilized Trend Micro in '10, saw some of the reviews for the company, and subsequently tried a few of the critically acclaimed heavy hitters for my PC protection in 2011. The fact is, almost every other program I tried annihilated my computer's performance in comparison to Trend's light load. What's more, because of the rather typical use of my machine, Trend seems to do just as good of a job protecting my PC as the big gun programs that bring it to a grinding halt.

All in all, I don't seem to require more security than what Trend provides, and I definitely require more performance out of my computer than what many other programs permit. This being the case, Trend Micro's PC security options will be my go-to preference moving forward.",Not a burden,1355961600,,,using maximum security almost year say prefer trend micro product undeniable trend micro catch flak industry critic concerned first utilized trend micro saw review company subsequently tried critically acclaimed heavy hitter pc protection fact almost every program tried annihilated computer performance comparison trend light load rather typical use machine trend seems good job protecting pc big gun program bring grinding halt seem require security trend provides definitely require performance computer many program permit case trend micro pc security option go preference moving forward,968,1,0.5
22,414,1396,7056,7056,5.0,True,"02 8, 2013",A2U0LXK29W2U6,B009CCVMOU,{'Format:': ' Software'},GmaH in SC,I buy this every year.  It's simple to use and a lot cheaper than an accountant.  Use it every year and it keeps track of former returns so you can't accidently skip an entry.,It works,1360281600,,,buy every year simple use lot cheaper accountant use every year keep track former return accidently skip entry,175,1,0.25
23,724,1322,10835,10835,5.0,True,"09 6, 2017",A1O16J4RN90W3H,B01019T6O0,{'Style:': ' USB Flash Drive'},CD music collector,Great software upgrade and easy to use and install. Later qualifies you for upgrade to the latest Windows 10 Creators Home edition. Great system and works great!!!,"Great software upgrade quick, easy, and straightforward to use and install!!!",1504656000,2.0,,great software upgrade easy use install later qualifies upgrade latest window creator home edition great system work great,163,1,1.0
24,612,27,11297,11297,4.0,False,"06 18, 2016",A3W4D8XOGLWUN5,B0148BYIPY,{'Platform:': ' Mac Key Card'},Michael Kerner,"I honestly have to say that when it does come down to computer software, Microsoft has been the leader at getting the programs out to the public, and has taken a very strong stance at delivering the best for all your PC needs. But while Microsoft has been so dominant with those needs, Apple has been one of those companies that has delivered with external devices brilliantly, especially with the Ipod and Itunes assertively. But for word processing, it has been your choice of one or the other. But there are also those whom are just not really thrilled about getting into a subscription service for MS Office 365. They may have just one computer, and only one for those needs. Well, this would be a good buy for those with only 1 Mac computer for those simple needs. Microsoft Office 2016 for 1 Mac computer, works just as strongly as the Office 2016 for the Windows computers, and you do have all the simple features including Word, Excel & many of all your office software needs. It runs very smoothly, and doesn't have a lot of flaws when installed. It works very nicely with updating all your old files from Word and some from other word processing suites like Corel, and converts them so well. It really stands up well for the money, and runs very smoothly on the Mac computers. I sincerely recommend this suite for your Mac computer. While Microsoft has been so geared on Windows, they have some really good pieces for the Apple brothers.

Price: B

Convenience & Setup: B 1/2-

Overall: B",Apple's Windows Helper,1466208000,,,honestly say come computer software microsoft leader getting program public taken strong stance delivering best pc need microsoft dominant need apple one company delivered external device brilliantly especially ipod itunes assertively word processing choice one also really thrilled getting subscription service m office may one computer one need well would good buy mac computer simple need microsoft office mac computer work strongly office window computer simple feature including word excel many office software need run smoothly lot flaw installed work nicely updating old file word word processing suite like corel convert well really stand well money run smoothly mac computer sincerely recommend suite mac computer microsoft geared window really good piece apple brother price b convenience setup b overall b,1498,1,1.0
25,322,990,11538,11538,5.0,True,"10 8, 2016",A6M01NDCD957E,B015724RQI,{'Platform:': ' 10D PC/Mac Download'},James McDonald,Great as usual,Good Product,1475884800,,,great usual,14,1,1.0
